index,case,ok,reason,num_vars_declared,num_vars_qubo,num_lin_terms,num_quad_terms,num_slack_vars,model
44,Seating,False,No JSON in row,,,,,,gpt-4
45,Seating,True,,4.0,6.0,2.0,6.0,0.0,gpt-4
46,Seating,True,,3.0,5.0,2.0,6.0,0.0,gpt-4
47,Seating,True,,4.0,6.0,2.0,6.0,0.0,gpt-4
48,Seating,True,,4.0,6.0,2.0,6.0,0.0,gpt-4
49,Seating,False,No JSON in row,,,,,,gpt-4
50,Seating,False,No JSON in row,,,,,,gpt-4
51,Seating,True,,4.0,6.0,2.0,6.0,0.0,gpt-4
52,Seating,False,No JSON in row,,,,,,gpt-4
53,Seating,True,,5.0,7.0,5.0,6.0,2.0,gpt-4
54,Seating,True,,3.0,5.0,2.0,6.0,0.0,gpt-4
55,Seating,False,No JSON in row,,,,,,gpt-4
56,Seating,False,No JSON in row,,,,,,gpt-4
57,Seating,False,No JSON in row,,,,,,gpt-4
58,Seating,True,,5.0,7.0,2.0,6.0,0.0,gpt-4
59,Seating,True,,3.0,5.0,5.0,6.0,2.0,gpt-4
60,Graph Coloring,True,,5.0,5.0,5.0,6.0,0.0,gpt-4
61,Graph Coloring,True,,4.0,4.0,4.0,3.0,0.0,gpt-4
62,Graph Coloring,True,,5.0,5.0,5.0,3.0,0.0,gpt-4
63,Graph Coloring,False,No JSON in row,,,,,,gpt-4
64,Graph Coloring,False,No JSON in row,,,,,,gpt-4
65,Graph Coloring,True,,5.0,5.0,5.0,4.0,0.0,gpt-4
66,Graph Coloring,False,No JSON in row,,,,,,gpt-4
67,Graph Coloring,True,,4.0,4.0,4.0,4.0,0.0,gpt-4
68,Graph Coloring,False,No JSON in row,,,,,,gpt-4
69,Graph Coloring,True,,5.0,5.0,5.0,3.0,0.0,gpt-4
70,Graph Coloring,True,,4.0,4.0,4.0,3.0,0.0,gpt-4
71,Graph Coloring,False,No JSON in row,,,,,,gpt-4
72,Graph Coloring,True,,3.0,3.0,3.0,2.0,0.0,gpt-4
73,Graph Coloring,False,No JSON in row,,,,,,gpt-4
74,Graph Coloring,True,,4.0,4.0,4.0,3.0,0.0,gpt-4
75,Graph Coloring,True,,4.0,4.0,4.0,3.0,0.0,gpt-4
76,Graph Coloring,True,,4.0,4.0,4.0,4.0,0.0,gpt-4
77,Graph Coloring,True,,4.0,4.0,4.0,2.0,0.0,gpt-4
78,Graph Coloring,False,No JSON in row,,,,,,gpt-4
79,Graph Coloring,False,No JSON in row,,,,,,gpt-4
80,Team Assignment,False,No JSON in row,,,,,,gpt-4
81,Team Assignment,False,Constraint 0 RHS is not numeric,6.0,,,,,gpt-4
82,Team Assignment,False,Unrecognized factor '- 1' in term '- 1*Person3',6.0,,,,,gpt-4
83,Team Assignment,False,No JSON in row,,,,,,gpt-4
84,Team Assignment,False,No JSON in row,,,,,,gpt-4
85,Team Assignment,False,No JSON in row,,,,,,gpt-4
86,Team Assignment,False,No JSON in row,,,,,,gpt-4
87,Team Assignment,False,No JSON in row,,,,,,gpt-4
88,Team Assignment,False,No JSON in row,,,,,,gpt-4
89,Team Assignment,False,"Unrecognized factor '6 ^2, Person1' in term 'sum Person0*6 ^2, Person1*5 ^2, Person2*6 ^2, Person3*3 ^2, Person4*6 ^2, Person5*8 ^2'",6.0,,,,,gpt-4
90,Team Assignment,False,No JSON in row,,,,,,gpt-4
91,Team Assignment,False,No JSON in row,,,,,,gpt-4
92,Team Assignment,False,Constraint 0 RHS is not numeric,6.0,,,,,gpt-4
93,Team Assignment,False,Constraint 0 RHS is not numeric,6.0,,,,,gpt-4
94,Team Assignment,False,Unrecognized factor '- Person3' in term '- Person3 * 5',6.0,,,,,gpt-4
95,Team Assignment,False,Unrecognized factor 'averageTeam1 ^2' in term '-1*averageTeam1 ^2',6.0,,,,,gpt-4
96,Team Assignment,False,No JSON in row,,,,,,gpt-4
97,Team Assignment,False,No JSON in row,,,,,,gpt-4
98,Team Assignment,False,No JSON in row,,,,,,gpt-4
99,Team Assignment,False,No JSON in row,,,,,,gpt-4
