Index,Case,Prompt,Success,Failure Type,Latency (s),Num Variables,Num Constraints,Prompt Length,Complexity Score,Reverse Prompt,Fidelity,Raw JSON
11,Knapsack,"Select items to maximize value under weight limit. Total capacity is 15. Items: [{'id': 'item0', 'value': 9, 'weight': 4}, {'id': 'item1', 'value': 3, 'weight': 3}, {'id': 'item2', 'value': 5, 'weight': 2}, {'id': 'item3', 'value': 7, 'weight': 5}, {'id': 'item4', 'value': 9, 'weight': 1}].",True,,2.76,5.0,1.0,291,8.91,"This optimization problem involves selecting items from a set of five options: item0, item1, item2, item3, and item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items, where the values are as follows:
- item0 contributes 9 units,
- item1 contributes 3 units,
- item2 contributes 5 units,
- item3 contributes 7 units,
- item4 contributes 9 units.

However, there is a constraint on the total weight of the selected items. The weights for each item are:
- item0 weighs 4 units,
- item1 weighs 3 units,
- item2 weighs 2 units,
- item3 weighs 5 units,
- item4 weighs 1 unit.

The combined weight of the chosen items must not exceed 15 units. If this weight limit is surpassed, a penalty is applied to discourage solutions that violate this constraint.

In summary, the problem is to choose a combination of items that maximizes the total value without the total weight exceeding 15 units.",0.0514018691588785,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""4*item0 + 3*item1 + 2*item2 + 5*item3 + 1*item4 <= 15"", ""penalty"": 10}], ""objective"": ""maximize: 9*item0 + 3*item1 + 5*item2 + 7*item3 + 9*item4""}"
12,Knapsack,"Select items to maximize value under weight limit. Total capacity is 15. Items: [{'id': 'item0', 'value': 8, 'weight': 4}, {'id': 'item1', 'value': 7, 'weight': 1}, {'id': 'item2', 'value': 1, 'weight': 5}, {'id': 'item3', 'value': 10, 'weight': 2}, {'id': 'item4', 'value': 2, 'weight': 5}].",True,,1.95,5.0,1.0,292,8.92,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items. The values for each item are as follows:
- item0: 8
- item1: 7
- item2: 1
- item3: 10
- item4: 2

However, there is a constraint on the total weight of the selected items. The weights for each item are:
- item0: 4
- item1: 1
- item2: 5
- item3: 2
- item4: 5

The sum of the weights of the chosen items must be less than or equal to 15.

In summary, the problem is to choose a subset of items that maximizes the total value while ensuring that the combined weight does not exceed 15.",0.09073359073359073,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""4*item0 + 1*item1 + 5*item2 + 2*item3 + 5*item4 <= 15"", ""penalty"": 10}], ""objective"": ""maximize: 8*item0 + 7*item1 + 1*item2 + 10*item3 + 2*item4""}"
13,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 4, 'weight': 2}, {'id': 'item2', 'value': 8, 'weight': 5}, {'id': 'item3', 'value': 4, 'weight': 4}, {'id': 'item4', 'value': 6, 'weight': 2}].",True,,1.86,5.0,1.0,291,8.91,"This optimization problem involves selecting items represented by binary variables x_item0 through x_item4, where each variable can be either 0 (item not selected) or 1 (item selected). The goal is to maximize the total value obtained from the selected items, calculated as:

9 times x_item0 plus 4 times x_item1 plus 8 times x_item2 plus 4 times x_item3 plus 6 times x_item4.

However, the selection must satisfy a constraint on the total weight or cost of the chosen items. Specifically, the combined weighted sum:

5 times x_item0 plus 2 times x_item1 plus 5 times x_item2 plus 4 times x_item3 plus 2 times x_item4

must be less than or equal to 12.

If this constraint is violated, a penalty is applied to discourage such solutions. The problem is to find the combination of items that maximizes the total value without exceeding the total allowed weight or cost of 12.",0.0429553264604811,"{""variables"": [""x_item0"", ""x_item1"", ""x_item2"", ""x_item3"", ""x_item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*x_item0 + 2*x_item1 + 5*x_item2 + 4*x_item3 + 2*x_item4 <= 12"", ""penalty"": 10}], ""objective"": ""maximize: 9*x_item0 + 4*x_item1 + 8*x_item2 + 4*x_item3 + 6*x_item4""}"
14,Knapsack,"Select items to maximize value under weight limit. Total capacity is 17. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 5, 'weight': 2}, {'id': 'item2', 'value': 9, 'weight': 4}, {'id': 'item3', 'value': 3, 'weight': 4}, {'id': 'item4', 'value': 7, 'weight': 4}].",True,,1.52,5.0,1.0,291,8.91,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items. The values for the items are as follows:
- item0: 9
- item1: 5
- item2: 9
- item3: 3
- item4: 7

However, there is a constraint on the total weight of the selected items. The weights for the items are:
- item0: 5
- item1: 2
- item2: 4
- item3: 4
- item4: 4

The sum of the weights of the chosen items must be less than or equal to 17.

In summary, the problem is to choose a subset of items to maximize the total value without exceeding a total weight of 17.",0.09099901088031652,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*item0 + 2*item1 + 4*item2 + 4*item3 + 4*item4 <= 17"", ""penalty"": 10}], ""objective"": ""maximize: 9*item0 + 5*item1 + 9*item2 + 3*item3 + 7*item4""}"
15,Knapsack,"Select items to maximize value under weight limit. Total capacity is 20. Items: [{'id': 'item0', 'value': 10, 'weight': 4}, {'id': 'item1', 'value': 4, 'weight': 5}, {'id': 'item2', 'value': 10, 'weight': 1}, {'id': 'item3', 'value': 9, 'weight': 1}, {'id': 'item4', 'value': 8, 'weight': 5}].",True,,1.74,5.0,1.0,293,8.93,"This optimization problem involves selecting a subset of five items, represented by the variables x_item0 through x_item4, where each variable can be either 0 or 1 indicating whether the item is excluded or included, respectively.

The goal is to maximize the total value obtained from the selected items. The values for the items are as follows:
- Item 0: 10
- Item 1: 4
- Item 2: 10
- Item 3: 9
- Item 4: 8

However, there is a constraint on the total weight of the selected items. Each item has an associated weight:
- Item 0: 4
- Item 1: 5
- Item 2: 1
- Item 3: 1
- Item 4: 5

The sum of the weights of the selected items must be less than or equal to 20.

In summary, the problem is to choose which items to include in order to maximize the total value without exceeding a total weight of 20.",0.029357798165137616,"{""variables"": [""x_item0"", ""x_item1"", ""x_item2"", ""x_item3"", ""x_item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""4*x_item0 + 5*x_item1 + 1*x_item2 + 1*x_item3 + 5*x_item4 <= 20"", ""penalty"": 10}], ""objective"": ""maximize: 10*x_item0 + 4*x_item1 + 10*x_item2 + 9*x_item3 + 8*x_item4""}"
16,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 6, 'weight': 3}, {'id': 'item1', 'value': 4, 'weight': 4}, {'id': 'item2', 'value': 1, 'weight': 3}, {'id': 'item3', 'value': 8, 'weight': 1}, {'id': 'item4', 'value': 6, 'weight': 3}].",True,,2.46,5.0,1.0,291,8.91,"This optimization problem involves five decision variables named x0, x1, x2, x3, and x4. The goal is to maximize the total value calculated as 6 times x0 plus 4 times x1 plus 1 times x2 plus 8 times x3 plus 6 times x4.

However, these variables must satisfy a constraint: when you multiply x0 by 3, x1 by 4, x2 by 3, x3 by 1, and x4 by 3, the sum of these products cannot exceed 16. If this constraint is violated, a penalty cost of 10 is applied.

In summary, the problem is to choose values for x0 through x4 that maximize the weighted sum 6x0 + 4x1 + 1x2 + 8x3 + 6x4 while ensuring that the weighted sum 3x0 + 4x1 + 3x2 + 1x3 + 3x4 does not exceed 16.",0.05502645502645503,"{""variables"": [""x0"", ""x1"", ""x2"", ""x3"", ""x4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""3*x0 + 4*x1 + 3*x2 + 1*x3 + 3*x4 <= 16"", ""penalty"": 10}], ""objective"": ""maximize: 6*x0 + 4*x1 + 1*x2 + 8*x3 + 6*x4""}"
17,Knapsack,"Select items to maximize value under weight limit. Total capacity is 16. Items: [{'id': 'item0', 'value': 3, 'weight': 4}, {'id': 'item1', 'value': 5, 'weight': 3}, {'id': 'item2', 'value': 9, 'weight': 1}, {'id': 'item3', 'value': 3, 'weight': 1}, {'id': 'item4', 'value': 5, 'weight': 5}].",True,,2.05,5.0,1.0,291,8.91,"This optimization problem involves selecting a subset of five items, represented by the binary variables x_item0 through x_item4, where each variable can be either 0 (item not selected) or 1 (item selected).

The goal is to maximize the total value obtained from the selected items. The value contributed by each item is as follows:
- Item 0 contributes 3 units,
- Item 1 contributes 5 units,
- Item 2 contributes 9 units,
- Item 3 contributes 3 units,
- Item 4 contributes 5 units.

However, there is a constraint on the total weight of the selected items. The weights of the items are:
- Item 0 weighs 4 units,
- Item 1 weighs 3 units,
- Item 2 weighs 1 unit,
- Item 3 weighs 1 unit,
- Item 4 weighs 5 units.

The total weight of the selected items must not exceed 16 units.

In summary, the problem is to choose which items to include so that the total value is as large as possible while keeping the combined weight at or below 16 units.",0.04707792207792208,"{""variables"": [""x_item0"", ""x_item1"", ""x_item2"", ""x_item3"", ""x_item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""4*x_item0 + 3*x_item1 + 1*x_item2 + 1*x_item3 + 5*x_item4 <= 16"", ""penalty"": 10}], ""objective"": ""maximize: 3*x_item0 + 5*x_item1 + 9*x_item2 + 3*x_item3 + 5*x_item4""}"
18,Knapsack,"Select items to maximize value under weight limit. Total capacity is 12. Items: [{'id': 'item0', 'value': 9, 'weight': 5}, {'id': 'item1', 'value': 2, 'weight': 3}, {'id': 'item2', 'value': 3, 'weight': 4}, {'id': 'item3', 'value': 6, 'weight': 5}, {'id': 'item4', 'value': 1, 'weight': 4}].",True,,1.21,5.0,1.0,291,8.91,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items, where the values are as follows:
- item0 contributes 9 units,
- item1 contributes 2 units,
- item2 contributes 3 units,
- item3 contributes 6 units,
- item4 contributes 1 unit.

However, there is a constraint on the combined ""weight"" or ""cost"" of the selected items. Specifically, the weighted sum of the items, calculated as 5 times item0 plus 3 times item1 plus 4 times item2 plus 5 times item3 plus 4 times item4, must not exceed 12.

If this constraint is violated, a penalty is applied to the solution, discouraging selections that surpass this limit.

In summary, the problem is to choose a subset of items to maximize the total value while ensuring that the weighted sum of their associated costs does not exceed 12.",0.02037617554858934,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""5*item0 + 3*item1 + 4*item2 + 5*item3 + 4*item4 <= 12"", ""penalty"": 10}], ""objective"": ""maximize: 9*item0 + 2*item1 + 3*item2 + 6*item3 + 1*item4""}"
19,Knapsack,"Select items to maximize value under weight limit. Total capacity is 14. Items: [{'id': 'item0', 'value': 10, 'weight': 2}, {'id': 'item1', 'value': 10, 'weight': 2}, {'id': 'item2', 'value': 7, 'weight': 4}, {'id': 'item3', 'value': 5, 'weight': 5}, {'id': 'item4', 'value': 8, 'weight': 2}].",True,,1.84,5.0,1.0,293,8.93,"This optimization problem involves selecting a subset of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items, where the values are:
- item0: 10
- item1: 10
- item2: 7
- item3: 5
- item4: 8

However, there is a constraint on the total ""weight"" of the chosen items. Each item has an associated weight:
- item0: 2
- item1: 2
- item2: 4
- item3: 5
- item4: 2

The sum of the weights of the selected items must be less than or equal to 14.

In summary, the problem is to choose which items to include so that the total value is as high as possible, while ensuring the combined weight does not exceed 14. If the weight limit is violated, a penalty is applied to discourage such solutions.",0.0748663101604278,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""2*item0 + 2*item1 + 4*item2 + 5*item3 + 2*item4 <= 14"", ""penalty"": 10}], ""objective"": ""maximize: 10*item0 + 10*item1 + 7*item2 + 5*item3 + 8*item4""}"
20,Knapsack,"Select items to maximize value under weight limit. Total capacity is 18. Items: [{'id': 'item0', 'value': 10, 'weight': 2}, {'id': 'item1', 'value': 2, 'weight': 3}, {'id': 'item2', 'value': 2, 'weight': 2}, {'id': 'item3', 'value': 3, 'weight': 3}, {'id': 'item4', 'value': 3, 'weight': 4}].",True,,3.76,5.0,1.0,292,8.92,"This optimization problem involves selecting a combination of five items, labeled item0 through item4. Each item can either be chosen (represented by 1) or not chosen (represented by 0).

The goal is to maximize the total value obtained from the selected items, where the values are as follows:
- item0 contributes 10 units,
- item1 contributes 2 units,
- item2 contributes 2 units,
- item3 contributes 3 units,
- item4 contributes 3 units.

However, the selection must satisfy a constraint on the total weight (or cost) of the chosen items. The weights for the items are:
- item0 weighs 2 units,
- item1 weighs 3 units,
- item2 weighs 2 units,
- item3 weighs 3 units,
- item4 weighs 4 units.

The sum of the weights of the selected items cannot exceed 18 units. If this constraint is violated, a penalty is applied to discourage such solutions.

In summary, the problem is to choose a subset of the five items to maximize the total value while ensuring that the combined weight does not exceed 18 units.",0.05092592592592592,"{""variables"": [""item0"", ""item1"", ""item2"", ""item3"", ""item4""], ""constraints"": [{""type"": ""inequality"", ""expression"": ""2*item0 + 3*item1 + 2*item2 + 3*item3 + 4*item4 <= 18"", ""penalty"": 10}], ""objective"": ""maximize: 10*item0 + 2*item1 + 2*item2 + 3*item3 + 3*item4""}"
